127.0.0.1 - - [18/Aug/2020:12:46:27 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:29 -0700] "GET /BookStoreWebsite/frontend/checkout.jsp HTTP/1.1" 200 9992
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:29 -0700] "GET /BookStoreWebsite/frontend/css/bootstrap.min.css HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:29 -0700] "GET /BookStoreWebsite/frontend/js/bootstrap.min.js HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:29 -0700] "GET /BookStoreWebsite/frontend/css/frontend/owl.carousel.min.css HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:29 -0700] "GET /BookStoreWebsite/frontend/js/frontend/custom.js HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:29 -0700] "GET /BookStoreWebsite/frontend/images/logo-backup.png HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:29 -0700] "GET /BookStoreWebsite/frontend/css/frontend/styles.css HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:29 -0700] "GET /BookStoreWebsite/frontend/js/frontend/owl.carousel.min.js HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:29 -0700] "GET /BookStoreWebsite/frontend/js/jquery.validate.min.js HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:29 -0700] "GET /BookStoreWebsite/frontend/js/jquery.min.js HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:29 -0700] "GET /BookStoreWebsite/frontend/css/frontend/cart.css HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:29 -0700] "GET /BookStoreWebsite/frontend/images/logo-backup.png HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:39 -0700] "GET /BookStoreWebsite/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:39 -0700] "GET /BookStoreWebsite/css/frontend/styles.css HTTP/1.1" 200 27502
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:39 -0700] "GET /BookStoreWebsite/images/slide3.jpg HTTP/1.1" 200 3349009
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:39 -0700] "GET /BookStoreWebsite/images/logo-backup.png HTTP/1.1" 200 32244
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:39 -0700] "GET /BookStoreWebsite/images/slide2.jpg HTTP/1.1" 200 2995928
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:39 -0700] "GET /BookStoreWebsite/images/slide1.jpg HTTP/1.1" 200 3808733
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:39 -0700] "GET /BookStoreWebsite/images/slide4.jpg HTTP/1.1" 200 428940
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:39 -0700] "GET /BookStoreWebsite/ HTTP/1.1" 200 364366
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:39 -0700] "GET /BookStoreWebsite/images/amount.png HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:39 -0700] "GET /BookStoreWebsite/images/precentagae.png HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:39 -0700] "GET /BookStoreWebsite/js/jquery.min.js HTTP/1.1" 200 87165
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:39 -0700] "GET /BookStoreWebsite/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:39 -0700] "GET /BookStoreWebsite/js/frontend/owl.carousel.min.js HTTP/1.1" 200 44231
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:46:39 -0700] "GET /BookStoreWebsite/images/offers.jpg HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:47:12 -0700] "GET /BookStoreWebsite/ HTTP/1.1" 200 364375
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:47:12 -0700] "GET /BookStoreWebsite/images/precentagae.png HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:47:12 -0700] "GET /BookStoreWebsite/images/amount.png HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:47:12 -0700] "GET /BookStoreWebsite/images/offers.jpg HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:47:50 -0700] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:47:50 -0700] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:47:50 -0700] "GET /BookStoreWebsite/ HTTP/1.1" 200 361939
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:55:42 -0700] "GET /BookStoreWebsite/view_book?id=2 HTTP/1.1" 200 44501
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:55:48 -0700] "GET /BookStoreWebsite/ HTTP/1.1" 200 360616
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:56:55 -0700] "GET /BookStoreWebsite/ HTTP/1.1" 200 363056
0:0:0:0:0:0:0:1 - - [18/Aug/2020:13:08:21 -0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 2171
